order_id,invoice_no,order_date,invoice_date,delivery_date,payment_due_date,vendor_id,vendor_name,gst_number,vendor_state,vendor_contact,item_id,item_name,item_category,hsn_code,quantity,unit,unit_price,taxable_amount,cgst_rate,cgst_amount,sgst_rate,sgst_amount,total_tax,total_invoice_amount,payment_status,payment_mode,payment_date,transaction_id,transport_mode,eway_bill_no,received_by,quality_check_status,remarks
16,INV-10016,2024-03-28,2024-04-02,2024-04-03,2024-05-02,V001,ABC Textiles,33ABCDE1234Z1,Tamil Nadu,+918071186249,I002,Polyester Yarn,Yarn,5402,659,Kg,301,198359,9,17852.31,9,17852.31,35704.62,234063.62,Paid,UPI,2024-04-02,TXN406114,Courier,EWB9395172,Ravi,Rejected,
17,INV-10017,2024-11-08,2024-11-12,2024-11-18,2024-12-12,V005,Vijay Spinning,33VIJSP3141Z5,Tamil Nadu,+918566796950,I005,Knitted Cloth,Fabric,6001,879,Kg,224,196896,9,17720.64,9,17720.64,35441.28,232337.28,Pending,NEFT,2024-11-12,TXN466948,Road,EWB6166664,Kumar,Rejected,
18,INV-10018,2025-05-23,2025-05-25,2025-05-27,2025-06-24,V003,Lakshmi Fabrics,33LAKFA9101Z3,Tamil Nadu,+919958774431,I004,Dyed Fabric,Fabric,6005,424,Kg,216,91584,9,8242.56,9,8242.56,16485.12,108069.12,Pending,NEFT,,TXN942861,Road,EWB4281700,Anita,Approved,
19,INV-10019,2024-11-18,2024-11-20,2024-11-26,2024-12-20,V004,Sakthi Traders,33SAKTR1121Z4,Tamil Nadu,+916556879298,I003,Grey Fabric,Fabric,6006,247,Kg,444,109668,9,9870.12,9,9870.12,19740.24,129408.24,Partial,RTGS,,TXN746712,Courier,EWB7323209,Kumar,Rejected,
20,INV-10020,2025-09-20,2025-09-24,2025-10-01,2025-10-24,V003,Lakshmi Fabrics,33LAKFA9101Z3,Tamil Nadu,+918714269691,I004,Dyed Fabric,Fabric,6005,994,Kg,376,373744,9,33636.96,9,33636.96,67273.92,441017.92,Paid,RTGS,,TXN978128,Road,EWB6227592,Kumar,Approved,
21,INV-10021,2025-04-28,2025-05-03,2025-05-09,2025-06-02,V001,ABC Textiles,33ABCDE1234Z1,Tamil Nadu,+916319444441,I004,Dyed Fabric,Fabric,6005,555,Kg,351,194805,9,17532.45,9,17532.45,35064.9,229869.9,Pending,UPI,2025-05-03,TXN934213,Courier,EWB1862278,Kumar,Rejected,
22,INV-10022,2025-05-06,2025-05-07,2025-05-12,2025-06-06,V003,Lakshmi Fabrics,33LAKFA9101Z3,Tamil Nadu,+916691392316,I001,Cotton Yarn,Yarn,5205,958,Kg,444,425352,9,38281.68,9,38281.68,76563.36,501915.36,Partial,Cheque,2025-05-07,TXN416593,Courier,EWB7278081,Ravi,Approved,
23,INV-10023,2024-03-28,2024-03-30,2024-04-06,2024-04-29,V004,Sakthi Traders,33SAKTR1121Z4,Tamil Nadu,+918219774058,I001,Cotton Yarn,Yarn,5205,272,Kg,406,110432,9,9938.88,9,9938.88,19877.76,130309.76,Pending,NEFT,,TXN279619,Courier,EWB8657548,Ravi,Rejected,
24,INV-10024,2025-06-29,2025-07-03,2025-07-06,2025-08-02,V005,Vijay Spinning,33VIJSP3141Z5,Tamil Nadu,+918152036614,I004,Dyed Fabric,Fabric,6005,177,Kg,277,49029,9,4412.61,9,4412.61,8825.22,57854.22,Pending,RTGS,2025-07-03,TXN806182,Road,EWB8853552,Kumar,Approved,
25,INV-10025,2025-11-25,2025-11-28,2025-11-29,2025-12-28,V003,Lakshmi Fabrics,33LAKFA9101Z3,Tamil Nadu,+917681480282,I001,Cotton Yarn,Yarn,5205,445,Kg,443,197135,9,17742.15,9,17742.15,35484.3,232619.3,Paid,RTGS,,TXN353545,Road,EWB3686748,Kumar,Rejected,
26,INV-10026,2024-03-10,2024-03-13,2024-03-20,2024-04-12,V003,Lakshmi Fabrics,33LAKFA9101Z3,Tamil Nadu,+919771402713,I002,Polyester Yarn,Yarn,5402,789,Kg,328,258792,9,23291.28,9,23291.28,46582.56,305374.56,Pending,NEFT,,TXN256708,Road,EWB7766659,Kumar,Rejected,
27,INV-10027,2024-05-29,2024-05-31,2024-06-02,2024-06-30,V003,Lakshmi Fabrics,33LAKFA9101Z3,Tamil Nadu,+918989914840,I001,Cotton Yarn,Yarn,5205,724,Kg,197,142628,9,12836.52,9,12836.52,25673.04,168301.04,Partial,UPI,2024-05-31,TXN505286,Courier,EWB4850161,Suresh,Approved,
28,INV-10028,2024-06-09,2024-06-13,2024-06-17,2024-07-13,V004,Sakthi Traders,33SAKTR1121Z4,Tamil Nadu,+917484030651,I003,Grey Fabric,Fabric,6006,526,Kg,152,79952,9,7195.68,9,7195.68,14391.36,94343.36,Partial,Cheque,2024-06-13,TXN636194,Courier,EWB8260439,Ravi,Rejected,
29,INV-10029,2026-01-11,2026-01-14,2026-01-21,2026-02-13,V003,Lakshmi Fabrics,33LAKFA9101Z3,Tamil Nadu,+919810854633,I004,Dyed Fabric,Fabric,6005,302,Kg,222,67044,9,6033.96,9,6033.96,12067.92,79111.92,Partial,RTGS,,TXN100207,Road,EWB9095204,Suresh,Rejected,
30,INV-10030,2024-11-04,2024-11-05,2024-11-09,2024-12-05,V005,Vijay Spinning,33VIJSP3141Z5,Tamil Nadu,+916157393080,I001,Cotton Yarn,Yarn,5205,809,Kg,226,182834,9,16455.06,9,16455.06,32910.12,215744.12,Pending,UPI,2024-11-05,TXN594785,Courier,EWB6194823,Anita,Rejected,
31,INV-10031,2024-07-24,2024-07-26,2024-08-02,2024-08-25,V004,Sakthi Traders,33SAKTR1121Z4,Tamil Nadu,+919387881101,I005,Knitted Cloth,Fabric,6001,361,Kg,258,93138,9,8382.42,9,8382.42,16764.84,109902.84,Paid,Cheque,2024-07-26,TXN724859,Road,EWB2669920,Suresh,Rejected,
32,INV-10032,2024-12-20,2024-12-22,2024-12-29,2025-01-21,V005,Vijay Spinning,33VIJSP3141Z5,Tamil Nadu,+917398842158,I004,Dyed Fabric,Fabric,6005,815,Kg,296,241240,9,21711.6,9,21711.6,43423.2,284663.2,Pending,Cheque,2024-12-22,TXN313609,Road,EWB8898845,Kumar,Approved,
33,INV-10033,2025-09-12,2025-09-13,2025-09-18,2025-10-13,V001,ABC Textiles,33ABCDE1234Z1,Tamil Nadu,+918039316024,I002,Polyester Yarn,Yarn,5402,249,Kg,436,108564,9,9770.76,9,9770.76,19541.52,128105.52,Pending,UPI,2025-09-13,TXN851366,Courier,EWB2782809,Anita,Approved,
34,INV-10034,2025-02-07,2025-02-10,2025-02-13,2025-03-12,V004,Sakthi Traders,33SAKTR1121Z4,Tamil Nadu,+918827367061,I001,Cotton Yarn,Yarn,5205,444,Kg,242,107448,9,9670.32,9,9670.32,19340.64,126788.64,Paid,NEFT,2025-02-10,TXN237851,Courier,EWB4069844,Kumar,Approved,
35,INV-10035,2024-06-20,2024-06-21,2024-06-22,2024-07-21,V002,Sri Yarn Mills,33SRIYM5678Z2,Tamil Nadu,+916026234553,I004,Dyed Fabric,Fabric,6005,222,Kg,401,89022,9,8011.98,9,8011.98,16023.96,105045.95999999999,Pending,NEFT,2024-06-21,TXN275400,Courier,EWB3698868,Ravi,Rejected,
36,INV-10036,2024-07-24,2024-07-29,2024-08-02,2024-08-28,V005,Vijay Spinning,33VIJSP3141Z5,Tamil Nadu,+917448340284,I004,Dyed Fabric,Fabric,6005,305,Kg,480,146400,9,13176.0,9,13176.0,26352.0,172752.0,Pending,UPI,2024-07-29,TXN181674,Courier,EWB6485624,Ravi,Approved,
37,INV-10037,2026-01-16,2026-01-18,2026-01-21,2026-02-17,V002,Sri Yarn Mills,33SRIYM5678Z2,Tamil Nadu,+918983522350,I001,Cotton Yarn,Yarn,5205,901,Kg,320,288320,9,25948.8,9,25948.8,51897.6,340217.6,Paid,RTGS,2026-01-18,TXN931981,Road,EWB5223744,Ravi,Rejected,
38,INV-10038,2026-01-13,2026-01-18,2026-01-19,2026-02-17,V005,Vijay Spinning,33VIJSP3141Z5,Tamil Nadu,+916330432470,I003,Grey Fabric,Fabric,6006,798,Kg,275,219450,9,19750.5,9,19750.5,39501.0,258951.0,Pending,NEFT,2026-01-18,TXN258637,Courier,EWB6542250,Kumar,Rejected,
39,INV-10039,2024-11-17,2024-11-18,2024-11-21,2024-12-18,V005,Vijay Spinning,33VIJSP3141Z5,Tamil Nadu,+918253326655,I005,Knitted Cloth,Fabric,6001,379,Kg,454,172066,9,15485.94,9,15485.94,30971.88,203037.88,Pending,NEFT,2024-11-18,TXN831816,Courier,EWB5200053,Kumar,Rejected,
40,INV-10040,2024-12-22,2024-12-27,2025-01-01,2025-01-26,V004,Sakthi Traders,33SAKTR1121Z4,Tamil Nadu,+916429707933,I004,Dyed Fabric,Fabric,6005,195,Kg,443,86385,9,7774.65,9,7774.65,15549.3,101934.3,Partial,Cheque,2024-12-27,TXN544416,Courier,EWB3535222,Ravi,Approved,
41,INV-10041,2025-05-04,2025-05-05,2025-05-09,2025-06-04,V002,Sri Yarn Mills,33SRIYM5678Z2,Tamil Nadu,+917026859202,I003,Grey Fabric,Fabric,6006,395,Kg,489,193155,9,17383.95,9,17383.95,34767.9,227922.9,Paid,RTGS,2025-05-05,TXN509639,Courier,EWB2637392,Kumar,Approved,
42,INV-10042,2024-05-10,2024-05-14,2024-05-19,2024-06-13,V001,ABC Textiles,33ABCDE1234Z1,Tamil Nadu,+917523710058,I002,Polyester Yarn,Yarn,5402,886,Kg,369,326934,9,29424.06,9,29424.06,58848.12,385782.12,Paid,Cheque,,TXN138140,Courier,EWB4565216,Anita,Rejected,
43,INV-10043,2025-01-24,2025-01-25,2025-01-31,2025-02-24,V005,Vijay Spinning,33VIJSP3141Z5,Tamil Nadu,+917856751864,I003,Grey Fabric,Fabric,6006,663,Kg,204,135252,9,12172.68,9,12172.68,24345.36,159597.36,Partial,RTGS,2025-01-25,TXN587050,Courier,EWB4543600,Anita,Approved,
44,INV-10044,2025-02-10,2025-02-11,2025-02-17,2025-03-13,V001,ABC Textiles,33ABCDE1234Z1,Tamil Nadu,+918369812975,I002,Polyester Yarn,Yarn,5402,194,Kg,473,91762,9,8258.58,9,8258.58,16517.16,108279.16,Partial,UPI,2025-02-11,TXN954365,Road,EWB5980223,Kumar,Rejected,
45,INV-10045,2025-03-07,2025-03-10,2025-03-12,2025-04-09,V004,Sakthi Traders,33SAKTR1121Z4,Tamil Nadu,+918706256048,I005,Knitted Cloth,Fabric,6001,844,Kg,239,201716,9,18154.44,9,18154.44,36308.88,238024.88,Paid,RTGS,,TXN125681,Courier,EWB5872897,Anita,Rejected,
46,INV-10046,2025-02-19,2025-02-23,2025-02-26,2025-03-25,V001,ABC Textiles,33ABCDE1234Z1,Tamil Nadu,+919255865690,I004,Dyed Fabric,Fabric,6005,793,Kg,399,316407,9,28476.63,9,28476.63,56953.26,373360.26,Pending,NEFT,2025-02-23,TXN901164,Courier,EWB8334816,Suresh,Approved,
47,INV-10047,2025-04-13,2025-04-16,2025-04-21,2025-05-16,V005,Vijay Spinning,33VIJSP3141Z5,Tamil Nadu,+916014690846,I003,Grey Fabric,Fabric,6006,585,Kg,243,142155,9,12793.95,9,12793.95,25587.9,167742.9,Paid,Cheque,2025-04-16,TXN922773,Courier,EWB9219553,Suresh,Approved,
48,INV-10048,2024-06-15,2024-06-17,2024-06-19,2024-07-17,V004,Sakthi Traders,33SAKTR1121Z4,Tamil Nadu,+917534715983,I004,Dyed Fabric,Fabric,6005,968,Kg,393,380424,9,34238.16,9,34238.16,68476.32,448900.32,Pending,NEFT,2024-06-17,TXN870019,Road,EWB7151882,Ravi,Rejected,
49,INV-10049,2024-12-31,2025-01-02,2025-01-03,2025-02-01,V003,Lakshmi Fabrics,33LAKFA9101Z3,Tamil Nadu,+917722538556,I001,Cotton Yarn,Yarn,5205,586,Kg,174,101964,9,9176.76,9,9176.76,18353.52,120317.52,Pending,Cheque,,TXN849075,Road,EWB4154785,Suresh,Rejected,
50,INV-10050,2024-06-22,2024-06-24,2024-06-27,2024-07-24,V005,Vijay Spinning,33VIJSP3141Z5,Tamil Nadu,+917600489611,I004,Dyed Fabric,Fabric,6005,647,Kg,175,113225,9,10190.25,9,10190.25,20380.5,133605.5,Paid,NEFT,,TXN374326,Road,EWB4412212,Anita,Approved,
51,INV-10051,2024-05-17,2024-05-18,2024-05-20,2024-06-17,V001,ABC Textiles,33ABCDE1234Z1,Tamil Nadu,+918748156292,I004,Dyed Fabric,Fabric,6005,121,Kg,412,49852,9,4486.68,9,4486.68,8973.36,58825.36,Paid,RTGS,,TXN333065,Courier,EWB6991091,Anita,Rejected,
52,INV-10052,2024-12-11,2024-12-12,2024-12-19,2025-01-11,V003,Lakshmi Fabrics,33LAKFA9101Z3,Tamil Nadu,+918735009286,I005,Knitted Cloth,Fabric,6001,860,Kg,424,364640,9,32817.6,9,32817.6,65635.2,430275.2,Pending,RTGS,2024-12-12,TXN524634,Courier,EWB9483328,Suresh,Rejected,
53,INV-10053,2024-10-22,2024-10-25,2024-10-31,2024-11-24,V005,Vijay Spinning,33VIJSP3141Z5,Tamil Nadu,+917244690864,I004,Dyed Fabric,Fabric,6005,247,Kg,319,78793,9,7091.37,9,7091.37,14182.74,92975.74,Paid,UPI,2024-10-25,TXN898595,Road,EWB2211271,Anita,Approved,
54,INV-10054,2025-04-21,2025-04-25,2025-04-30,2025-05-25,V001,ABC Textiles,33ABCDE1234Z1,Tamil Nadu,+917708423048,I001,Cotton Yarn,Yarn,5205,206,Kg,160,32960,9,2966.4,9,2966.4,5932.8,38892.8,Paid,NEFT,2025-04-25,TXN200396,Road,EWB1076345,Kumar,Rejected,
55,INV-10055,2024-05-06,2024-05-08,2024-05-11,2024-06-07,V004,Sakthi Traders,33SAKTR1121Z4,Tamil Nadu,+916152349407,I002,Polyester Yarn,Yarn,5402,238,Kg,354,84252,9,7582.68,9,7582.68,15165.36,99417.36,Paid,Cheque,2024-05-08,TXN342211,Road,EWB1447759,Anita,Rejected,
56,INV-10056,2024-07-19,2024-07-24,2024-07-29,2024-08-23,V002,Sri Yarn Mills,33SRIYM5678Z2,Tamil Nadu,+919981858677,I003,Grey Fabric,Fabric,6006,362,Kg,379,137198,9,12347.82,9,12347.82,24695.64,161893.64,Pending,UPI,2024-07-24,TXN109852,Courier,EWB3457893,Anita,Rejected,
57,INV-10057,2025-12-17,2025-12-18,2025-12-21,2026-01-17,V005,Vijay Spinning,33VIJSP3141Z5,Tamil Nadu,+918531019671,I005,Knitted Cloth,Fabric,6001,515,Kg,342,176130,9,15851.7,9,15851.7,31703.4,207833.4,Paid,RTGS,2025-12-18,TXN865991,Courier,EWB1003399,Anita,Approved,
58,INV-10058,2025-10-17,2025-10-22,2025-10-25,2025-11-21,V001,ABC Textiles,33ABCDE1234Z1,Tamil Nadu,+917750606071,I003,Grey Fabric,Fabric,6006,924,Kg,284,262416,9,23617.44,9,23617.44,47234.88,309650.88,Paid,UPI,,TXN643001,Road,EWB9555776,Kumar,Approved,
59,INV-10059,2025-06-30,2025-07-03,2025-07-10,2025-08-02,V001,ABC Textiles,33ABCDE1234Z1,Tamil Nadu,+919677123978,I004,Dyed Fabric,Fabric,6005,399,Kg,498,198702,9,17883.18,9,17883.18,35766.36,234468.36,Paid,NEFT,,TXN416506,Road,EWB1333429,Ravi,Rejected,
60,INV-10060,2025-10-31,2025-11-05,2025-11-12,2025-12-05,V005,Vijay Spinning,33VIJSP3141Z5,Tamil Nadu,+917361495155,I002,Polyester Yarn,Yarn,5402,322,Kg,480,154560,9,13910.4,9,13910.4,27820.8,182380.8,Partial,UPI,2025-11-05,TXN101913,Road,EWB4589117,Ravi,Approved,
61,INV-10061,2025-01-07,2025-01-12,2025-01-15,2025-02-11,V003,Lakshmi Fabrics,33LAKFA9101Z3,Tamil Nadu,+916729529573,I003,Grey Fabric,Fabric,6006,471,Kg,277,130467,9,11742.03,9,11742.03,23484.06,153951.06,Pending,UPI,2025-01-12,TXN982036,Courier,EWB2262636,Ravi,Rejected,
62,INV-10062,2025-09-30,2025-10-05,2025-10-09,2025-11-04,V001,ABC Textiles,33ABCDE1234Z1,Tamil Nadu,+916877207071,I004,Dyed Fabric,Fabric,6005,268,Kg,257,68876,9,6198.84,9,6198.84,12397.68,81273.68,Pending,NEFT,2025-10-05,TXN498020,Courier,EWB7894007,Anita,Approved,
63,INV-10063,2026-01-01,2026-01-06,2026-01-12,2026-02-05,V001,ABC Textiles,33ABCDE1234Z1,Tamil Nadu,+919038266178,I002,Polyester Yarn,Yarn,5402,861,Kg,485,417585,9,37582.65,9,37582.65,75165.3,492750.3,Paid,UPI,2026-01-06,TXN919285,Courier,EWB6593474,Kumar,Rejected,
64,INV-10064,2025-10-17,2025-10-20,2025-10-21,2025-11-19,V002,Sri Yarn Mills,33SRIYM5678Z2,Tamil Nadu,+918846287688,I005,Knitted Cloth,Fabric,6001,170,Kg,454,77180,9,6946.2,9,6946.2,13892.4,91072.4,Paid,RTGS,2025-10-20,TXN789682,Courier,EWB2365868,Kumar,Rejected,
65,INV-10065,2025-04-17,2025-04-18,2025-04-23,2025-05-18,V003,Lakshmi Fabrics,33LAKFA9101Z3,Tamil Nadu,+916353590856,I002,Polyester Yarn,Yarn,5402,698,Kg,308,214984,9,19348.56,9,19348.56,38697.12,253681.12,Partial,NEFT,2025-04-18,TXN318851,Road,EWB3577190,Ravi,Approved,
66,INV-10066,2025-07-19,2025-07-23,2025-07-27,2025-08-22,V005,Vijay Spinning,33VIJSP3141Z5,Tamil Nadu,+919970333372,I001,Cotton Yarn,Yarn,5205,761,Kg,197,149917,9,13492.53,9,13492.53,26985.06,176902.06,Partial,UPI,,TXN523338,Courier,EWB7310031,Kumar,Rejected,
67,INV-10067,2024-02-21,2024-02-24,2024-02-28,2024-03-25,V002,Sri Yarn Mills,33SRIYM5678Z2,Tamil Nadu,+918183631203,I001,Cotton Yarn,Yarn,5205,553,Kg,450,248850,9,22396.5,9,22396.5,44793.0,293643.0,Paid,RTGS,,TXN976689,Courier,EWB9950895,Anita,Rejected,
68,INV-10068,2024-03-23,2024-03-27,2024-04-02,2024-04-26,V004,Sakthi Traders,33SAKTR1121Z4,Tamil Nadu,+916058400157,I002,Polyester Yarn,Yarn,5402,640,Kg,443,283520,9,25516.8,9,25516.8,51033.6,334553.6,Pending,RTGS,2024-03-27,TXN686478,Road,EWB3198608,Anita,Approved,
69,INV-10069,2024-04-04,2024-04-07,2024-04-10,2024-05-07,V001,ABC Textiles,33ABCDE1234Z1,Tamil Nadu,+918882182326,I002,Polyester Yarn,Yarn,5402,714,Kg,427,304878,9,27439.02,9,27439.02,54878.04,359756.04,Partial,Cheque,,TXN325206,Courier,EWB3927625,Anita,Approved,
70,INV-10070,2025-12-11,2025-12-12,2025-12-19,2026-01-11,V003,Lakshmi Fabrics,33LAKFA9101Z3,Tamil Nadu,+917713044284,I005,Knitted Cloth,Fabric,6001,272,Kg,499,135728,9,12215.52,9,12215.52,24431.04,160159.04,Paid,UPI,2025-12-12,TXN840654,Road,EWB8468460,Ravi,Approved,
71,INV-10071,2025-09-11,2025-09-12,2025-09-15,2025-10-12,V003,Lakshmi Fabrics,33LAKFA9101Z3,Tamil Nadu,+919037787483,I003,Grey Fabric,Fabric,6006,561,Kg,309,173349,9,15601.41,9,15601.41,31202.82,204551.82,Paid,NEFT,2025-09-12,TXN499646,Road,EWB9454502,Anita,Rejected,
72,INV-10072,2025-12-11,2025-12-14,2025-12-21,2026-01-13,V003,Lakshmi Fabrics,33LAKFA9101Z3,Tamil Nadu,+919040585969,I004,Dyed Fabric,Fabric,6005,695,Kg,335,232825,9,20954.25,9,20954.25,41908.5,274733.5,Pending,UPI,2025-12-14,TXN736375,Road,EWB5568050,Kumar,Rejected,
73,INV-10073,2025-03-17,2025-03-19,2025-03-22,2025-04-18,V004,Sakthi Traders,33SAKTR1121Z4,Tamil Nadu,+916783871682,I002,Polyester Yarn,Yarn,5402,175,Kg,476,83300,9,7497.0,9,7497.0,14994.0,98294.0,Partial,RTGS,,TXN852786,Road,EWB1655454,Ravi,Approved,
74,INV-10074,2025-10-23,2025-10-28,2025-11-03,2025-11-27,V005,Vijay Spinning,33VIJSP3141Z5,Tamil Nadu,+918239133614,I003,Grey Fabric,Fabric,6006,879,Kg,281,246999,9,22229.91,9,22229.91,44459.82,291458.82,Paid,RTGS,,TXN748161,Road,EWB1863762,Kumar,Approved,
75,INV-10075,2025-07-26,2025-07-28,2025-08-03,2025-08-27,V004,Sakthi Traders,33SAKTR1121Z4,Tamil Nadu,+919613021004,I004,Dyed Fabric,Fabric,6005,120,Kg,381,45720,9,4114.8,9,4114.8,8229.6,53949.6,Partial,Cheque,,TXN875343,Courier,EWB9796600,Anita,Approved,
76,INV-10076,2025-07-19,2025-07-22,2025-07-24,2025-08-21,V005,Vijay Spinning,33VIJSP3141Z5,Tamil Nadu,+917490749590,I004,Dyed Fabric,Fabric,6005,766,Kg,440,337040,9,30333.6,9,30333.6,60667.2,397707.2,Partial,UPI,,TXN490224,Courier,EWB4896932,Suresh,Rejected,
77,INV-10077,2025-12-26,2025-12-27,2025-12-29,2026-01-26,V005,Vijay Spinning,33VIJSP3141Z5,Tamil Nadu,+916922959731,I005,Knitted Cloth,Fabric,6001,372,Kg,458,170376,9,15333.84,9,15333.84,30667.68,201043.68,Partial,Cheque,2025-12-27,TXN415243,Courier,EWB1414699,Kumar,Approved,
78,INV-10078,2025-10-26,2025-10-29,2025-10-30,2025-11-28,V002,Sri Yarn Mills,33SRIYM5678Z2,Tamil Nadu,+917784241515,I004,Dyed Fabric,Fabric,6005,691,Kg,236,163076,9,14676.84,9,14676.84,29353.68,192429.68,Paid,RTGS,,TXN497321,Courier,EWB4697519,Ravi,Rejected,
79,INV-10079,2025-01-10,2025-01-14,2025-01-17,2025-02-13,V005,Vijay Spinning,33VIJSP3141Z5,Tamil Nadu,+917191738972,I003,Grey Fabric,Fabric,6006,178,Kg,185,32930,9,2963.7,9,2963.7,5927.4,38857.4,Pending,Cheque,2025-01-14,TXN941669,Road,EWB3261702,Ravi,Rejected,
